                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 1.4962,                0.89902,                0.90341,                0.81236,                0.73574,                0.81469,                0.46595,                 1.2941,                0.69465,                0.87124,              0.0090595,              0.0090595,              0.0090595
                     97,                 1.4826,                0.87386,                0.89323,                0.65246,                0.65904,                0.64634,                0.31653,                  1.536,                0.95417,                0.91567,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.5069,                0.90834,                0.90518,                0.86176,                0.74465,                0.84214,                 0.4717,                 1.2827,                0.69861,                0.86611,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.4728,                0.89249,                0.90537,                0.82137,                0.77056,                0.83343,                0.42097,                 1.3841,                0.71618,                0.88568,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.4812,                0.86501,                0.89987,                0.80864,                0.74758,                0.81684,                 0.4324,                 1.4304,                0.75429,                0.88509,              0.0090199,              0.0090199,              0.0090199
                    101,                 1.4747,                0.89292,                0.90563,                0.57514,                0.62808,                0.59068,                0.27527,                 1.6464,                 1.1592,                0.93765,                0.00901,                0.00901,                0.00901
                    102,                 1.4891,                0.86922,                0.89949,                0.83957,                0.70038,                0.82498,                0.40672,                 1.4388,                0.75383,                0.88624,              0.0090001,              0.0090001,              0.0090001
                    103,                 1.5116,                0.87199,                0.89945,                0.63425,                0.64086,                0.67001,                0.31815,                 1.5083,                 0.9665,                0.91152,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.5132,                0.88328,                0.90486,                0.78672,                0.68765,                0.75399,                0.38518,                 1.4589,                0.80214,                0.89799,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.4533,                0.85672,                0.89222,                0.60901,                0.66582,                0.63855,                0.27684,                 1.6106,                 1.0499,                0.92549,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.5034,                0.86992,                0.90959,                0.47581,                 0.5045,                0.46424,                0.19856,                 1.7767,                   1.22,                0.98444,              0.0089605,              0.0089605,              0.0089605
